"id","year","industry_branch_code","industry_branch_name","payroll_value","category_code","category_name","price_avg","price_value","price_unit"
1,2000,A,"Zemědělství, lesnictví, rybářství",8793.00,,,,,
2,2000,B,Těžba a dobývání,14780.00,,,,,
3,2000,C,Zpracovatelský průmysl,11685.00,,,,,
4,2000,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",15824.00,,,,,
5,2000,E,Zásobování vodou; činnosti související s odpady a sanacemi,11467.00,,,,,
6,2000,F,Stavebnictví,10972.00,,,,,
7,2000,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,11115.00,,,,,
8,2000,H,Doprava a skladování,12043.00,,,,,
9,2000,I,"Ubytování, stravování a pohostinství",6698.00,,,,,
10,2000,J,Informační a komunikační činnosti,20625.00,,,,,
11,2000,K,Peněžnictví a pojišťovnictví,22155.00,,,,,
12,2000,L,Činnosti v oblasti nemovitostí,10575.00,,,,,
13,2000,M,"Profesní, vědecké a technické činnosti",13817.00,,,,,
14,2000,N,Administrativní a podpůrné činnosti,9036.00,,,,,
15,2000,O,Veřejná správa a obrana; povinné sociální zabezpečení,13197.00,,,,,
16,2000,P,Vzdělávání,9646.00,,,,,
17,2000,Q,Zdravotní a sociální péče,10022.00,,,,,
18,2000,R,"Kulturní, zábavní a rekreační činnosti",9234.00,,,,,
19,2000,S,Ostatní činnosti,9111.00,,,,,
20,2001,A,"Zemědělství, lesnictví, rybářství",9639.00,,,,,
21,2001,B,Těžba a dobývání,15830.00,,,,,
22,2001,C,Zpracovatelský průmysl,12597.00,,,,,
23,2001,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",17158.00,,,,,
24,2001,E,Zásobování vodou; činnosti související s odpady a sanacemi,12237.00,,,,,
25,2001,F,Stavebnictví,11723.00,,,,,
26,2001,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,12096.00,,,,,
27,2001,H,Doprava a skladování,12817.00,,,,,
28,2001,I,"Ubytování, stravování a pohostinství",7323.00,,,,,
29,2001,J,Informační a komunikační činnosti,24033.00,,,,,
30,2001,K,Peněžnictví a pojišťovnictví,25989.00,,,,,
31,2001,L,Činnosti v oblasti nemovitostí,11618.00,,,,,
32,2001,M,"Profesní, vědecké a technické činnosti",15107.00,,,,,
33,2001,N,Administrativní a podpůrné činnosti,9556.00,,,,,
34,2001,O,Veřejná správa a obrana; povinné sociální zabezpečení,14429.00,,,,,
35,2001,P,Vzdělávání,10586.00,,,,,
36,2001,Q,Zdravotní a sociální péče,11300.00,,,,,
37,2001,R,"Kulturní, zábavní a rekreační činnosti",10228.00,,,,,
38,2001,S,Ostatní činnosti,9943.00,,,,,
39,2002,A,"Zemědělství, lesnictví, rybářství",10298.00,,,,,
40,2002,B,Těžba a dobývání,16869.00,,,,,
41,2002,C,Zpracovatelský průmysl,13461.00,,,,,
42,2002,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",19028.00,,,,,
43,2002,E,Zásobování vodou; činnosti související s odpady a sanacemi,13164.00,,,,,
44,2002,F,Stavebnictví,12245.00,,,,,
45,2002,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,13085.00,,,,,
46,2002,H,Doprava a skladování,13915.00,,,,,
47,2002,I,"Ubytování, stravování a pohostinství",8513.00,,,,,
48,2002,J,Informační a komunikační činnosti,26251.00,,,,,
49,2002,K,Peněžnictví a pojišťovnictví,30281.00,,,,,
50,2002,L,Činnosti v oblasti nemovitostí,13347.00,,,,,
51,2002,M,"Profesní, vědecké a technické činnosti",16371.00,,,,,
52,2002,N,Administrativní a podpůrné činnosti,10235.00,,,,,
53,2002,O,Veřejná správa a obrana; povinné sociální zabezpečení,15222.00,,,,,
54,2002,P,Vzdělávání,11252.00,,,,,
55,2002,Q,Zdravotní a sociální péče,12305.00,,,,,
56,2002,R,"Kulturní, zábavní a rekreační činnosti",10640.00,,,,,
57,2002,S,Ostatní činnosti,10864.00,,,,,
58,2003,A,"Zemědělství, lesnictví, rybářství",10463.00,,,,,
59,2003,B,Těžba a dobývání,17917.00,,,,,
60,2003,C,Zpracovatelský průmysl,14046.00,,,,,
61,2003,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",20680.00,,,,,
62,2003,E,Zásobování vodou; činnosti související s odpady a sanacemi,13825.00,,,,,
63,2003,F,Stavebnictví,12944.00,,,,,
64,2003,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,13902.00,,,,,
65,2003,H,Doprava a skladování,14598.00,,,,,
66,2003,I,"Ubytování, stravování a pohostinství",8897.00,,,,,
67,2003,J,Informační a komunikační činnosti,27965.00,,,,,
68,2003,K,Peněžnictví a pojišťovnictví,31202.00,,,,,
69,2003,L,Činnosti v oblasti nemovitostí,14168.00,,,,,
70,2003,M,"Profesní, vědecké a technické činnosti",17682.00,,,,,
71,2003,N,Administrativní a podpůrné činnosti,10530.00,,,,,
72,2003,O,Veřejná správa a obrana; povinné sociální zabezpečení,17060.00,,,,,
73,2003,P,Vzdělávání,12982.00,,,,,
74,2003,Q,Zdravotní a sociální péče,13964.00,,,,,
75,2003,R,"Kulturní, zábavní a rekreační činnosti",11695.00,,,,,
76,2003,S,Ostatní činnosti,11864.00,,,,,
77,2004,A,"Zemědělství, lesnictví, rybářství",11237.00,,,,,
78,2004,B,Těžba a dobývání,18597.00,,,,,
79,2004,C,Zpracovatelský průmysl,15424.00,,,,,
80,2004,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",22235.00,,,,,
81,2004,E,Zásobování vodou; činnosti související s odpady a sanacemi,15075.00,,,,,
82,2004,F,Stavebnictví,14375.00,,,,,
83,2004,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,14750.00,,,,,
84,2004,H,Doprava a skladování,15812.00,,,,,
85,2004,I,"Ubytování, stravování a pohostinství",9389.00,,,,,
86,2004,J,Informační a komunikační činnosti,29664.00,,,,,
87,2004,K,Peněžnictví a pojišťovnictví,35234.00,,,,,
88,2004,L,Činnosti v oblasti nemovitostí,15149.00,,,,,
89,2004,M,"Profesní, vědecké a technické činnosti",18369.00,,,,,
90,2004,N,Administrativní a podpůrné činnosti,11180.00,,,,,
91,2004,O,Veřejná správa a obrana; povinné sociální zabezpečení,18542.00,,,,,
92,2004,P,Vzdělávání,14520.00,,,,,
93,2004,Q,Zdravotní a sociální péče,15007.00,,,,,
94,2004,R,"Kulturní, zábavní a rekreační činnosti",12552.00,,,,,
95,2004,S,Ostatní činnosti,12395.00,,,,,
96,2005,A,"Zemědělství, lesnictví, rybářství",11809.00,,,,,
97,2005,B,Těžba a dobývání,19948.00,,,,,
98,2005,C,Zpracovatelský průmysl,15967.00,,,,,
99,2005,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",24068.00,,,,,
100,2005,E,Zásobování vodou; činnosti související s odpady a sanacemi,15793.00,,,,,
101,2005,F,Stavebnictví,14643.00,,,,,
102,2005,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,15438.00,,,,,
103,2005,H,Doprava a skladování,16305.00,,,,,
104,2005,I,"Ubytování, stravování a pohostinství",9661.00,,,,,
105,2005,J,Informační a komunikační činnosti,31695.00,,,,,
106,2005,K,Peněžnictví a pojišťovnictví,39704.00,,,,,
107,2005,L,Činnosti v oblasti nemovitostí,15652.00,,,,,
108,2005,M,"Profesní, vědecké a technické činnosti",19914.00,,,,,
109,2005,N,Administrativní a podpůrné činnosti,11633.00,,,,,
110,2005,O,Veřejná správa a obrana; povinné sociální zabezpečení,20562.00,,,,,
111,2005,P,Vzdělávání,15439.00,,,,,
112,2005,Q,Zdravotní a sociální péče,15666.00,,,,,
113,2005,R,"Kulturní, zábavní a rekreační činnosti",13649.00,,,,,
114,2005,S,Ostatní činnosti,13195.00,,,,,
115,2006,A,"Zemědělství, lesnictví, rybářství",12543.00,,,,,
116,2006,B,Těžba a dobývání,21297.00,,,,,
117,2006,C,Zpracovatelský průmysl,17051.00,,,,,
118,2006,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",26201.00,,,,,
119,2006,E,Zásobování vodou; činnosti související s odpady a sanacemi,16742.00,,,,,
120,2006,F,Stavebnictví,15462.00,,,,,
121,2006,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,16337.00,,,,,
122,2006,H,Doprava a skladování,17719.00,,,,,
123,2006,I,"Ubytování, stravování a pohostinství",10470.00,,,,,
124,2006,J,Informační a komunikační činnosti,34280.00,,,,,
125,2006,K,Peněžnictví a pojišťovnictví,43481.00,,,,,
126,2006,L,Činnosti v oblasti nemovitostí,16729.00,,,,,
127,2006,M,"Profesní, vědecké a technické činnosti",20991.00,,,,,
128,2006,N,Administrativní a podpůrné činnosti,12586.00,,,,,
129,2006,O,Veřejná správa a obrana; povinné sociální zabezpečení,21695.00,,,,,
130,2006,P,Vzdělávání,16471.00,,,,,
131,2006,Q,Zdravotní a sociální péče,17075.00,,,,,
132,2006,R,"Kulturní, zábavní a rekreační činnosti",14524.00,,,,,
133,2006,S,Ostatní činnosti,14144.00,,,,,
134,2007,A,"Zemědělství, lesnictví, rybářství",13816.00,,,,,
135,2007,B,Těžba a dobývání,23168.00,,,,,
136,2007,C,Zpracovatelský průmysl,18405.00,,,,,
137,2007,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28409.00,,,,,
138,2007,E,Zásobování vodou; činnosti související s odpady a sanacemi,17748.00,,,,,
139,2007,F,Stavebnictví,17277.00,,,,,
140,2007,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17756.00,,,,,
141,2007,H,Doprava a skladování,19083.00,,,,,
142,2007,I,"Ubytování, stravování a pohostinství",11039.00,,,,,
143,2007,J,Informační a komunikační činnosti,36600.00,,,,,
144,2007,K,Peněžnictví a pojišťovnictví,46361.00,,,,,
145,2007,L,Činnosti v oblasti nemovitostí,18245.00,,,,,
146,2007,M,"Profesní, vědecké a technické činnosti",23248.00,,,,,
